mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__colsample_bylevel,param_xgbclassifier__colsample_bytree,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__n_estimators,param_xgbclassifier__reg_lambda,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.14761085510253907,0.027544882381061193,0.0252716064453125,0.0068436543031546474,0.4,0.4,0.05,3,50,0.4,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.4}",0.789712556732224,0.7881996974281392,0.8015151515151515,0.7348484848484849,0.7863636363636364,0.7801279053775272,0.023253145723655208,15
0.10355129241943359,0.024885879644611645,0.022463893890380858,0.006600972698987526,0.4,0.4,0.05,3,50,0.5,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.789712556732224,0.7881996974281392,0.8,0.7348484848484849,0.7878787878787878,0.7801279053775272,0.023074755106731414,15
0.09742598533630371,0.008921483755168321,0.0167691707611084,0.0015315584414961364,0.4,0.4,0.05,3,75,0.4,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.4}",0.8018154311649016,0.8048411497730711,0.8075757575757576,0.75,0.7924242424242425,0.7913313161875946,0.021287490842914286,9
0.10110931396484375,0.006026407891953135,0.0172727108001709,0.0014653080726508717,0.4,0.4,0.05,3,75,0.5,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.4, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.5}",0.8018154311649016,0.8018154311649016,0.806060606060606,0.75,0.793939393939394,0.7907261724659607,0.020736605732940814,10
0.07747483253479004,0.0025413436928542776,0.01599464416503906,0.0006156842578090489,0.4,0.5,0.01,2,50,0.4,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.5, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.4}",0.7503782148260212,0.7382753403933434,0.7287878787878788,0.6681818181818182,0.7242424242424242,0.7219731352862971,0.028346804519040987,55
0.08579697608947753,0.007334307832405532,0.01646881103515625,0.0008169792205578465,0.4,0.5,0.01,2,50,0.5,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.5, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.7503782148260212,0.7382753403933434,0.7287878787878788,0.6681818181818182,0.7242424242424242,0.7219731352862971,0.028346804519040987,55
0.08799142837524414,0.004740892169365522,0.015215587615966798,0.0005703447515096561,0.4,0.5,0.01,2,75,0.4,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.5, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.4}",0.7655068078668684,0.7428139183055976,0.7318181818181818,0.6772727272727272,0.7378787878787879,0.7310580846284326,0.02920574794334744,52
0.08932828903198242,0.0035786728665023614,0.015544700622558593,0.0011972887711899304,0.4,0.5,0.01,2,75,0.5,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.5, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 2, 'xgbclassifier__n_estimators': 75, 'xgbclassifier__reg_lambda': 0.5}",0.7655068078668684,0.7428139183055976,0.7348484848484849,0.6772727272727272,0.7378787878787879,0.7316641452344932,0.029246645631425598,51
0.09700584411621094,0.013826571166872555,0.018782854080200195,0.003403759418854233,0.4,0.5,0.01,3,50,0.4,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.5, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.4}",0.75642965204236,0.7367624810892587,0.7575757575757576,0.696969696969697,0.7696969696969697,0.7434869114748086,0.02554230404324915,39
0.09003286361694336,0.007399772484435509,0.01727004051208496,0.003843896688161506,0.4,0.5,0.01,3,50,0.5,"{'xgbclassifier__colsample_bylevel': 0.4, 'xgbclassifier__colsample_bytree': 0.5, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 3, 'xgbclassifier__n_estimators': 50, 'xgbclassifier__reg_lambda': 0.5}",0.75642965204236,0.7367624810892587,0.7575757575757576,0.696969696969697,0.7696969696969697,0.7434869114748086,0.02554230404324915,39
